,col0,col1,col2
570,3611.5,346.0,16.0
571,3612.5,326.0,20.0
572,3613.5,326.0,20.0
573,3614.5,326.0,16.0
574,3615.5,310.0,14.0
575,3616.5,318.0,16.0
576,3617.5,326.0,18.0
577,3618.5,322.0,18.0
578,3619.5,322.0,18.0
579,3620.5,332.0,16.0
580,3621.5,320.0,20.0
581,3622.5,344.0,16.0
582,3623.5,316.0,16.0
583,3624.5,320.0,10.0
584,3625.5,312.0,14.0
585,3626.5,312.0,20.0
586,3627.5,322.0,14.0
587,3628.5,306.0,16.0
588,3629.5,322.0,12.0
589,3630.5,310.0,16.0
590,3631.5,328.0,14.0
591,3632.5,316.0,16.0
592,3633.5,324.0,16.0
593,3634.5,304.0,14.0
594,3635.5,308.0,14.0
595,3636.5,308.0,14.0
596,3637.5,314.0,16.0
597,3638.5,304.0,14.0
598,3639.5,304.0,14.0
599,3640.5,330.0,14.0
600,3641.5,300.0,16.0
601,3642.5,310.0,14.0
602,3643.5,312.0,16.0
603,3644.5,296.0,12.0
604,3645.5,286.0,10.0
605,3646.5,296.0,10.0
606,3647.5,304.0,14.0
607,3648.5,290.0,12.0
608,3649.5,280.0,16.0
609,3650.5,300.0,16.0
610,3651.5,298.0,8.0
611,3652.5,306.0,12.0
612,3653.5,282.0,18.0
613,3654.5,286.0,10.0
614,3655.5,312.0,12.0
615,3656.5,308.0,12.0
616,3657.5,324.0,10.0
617,3658.5,294.0,12.0
618,3659.5,286.0,16.0
619,3660.5,280.0,14.0
620,3661.5,282.0,12.0
621,3662.5,278.0,12.0
622,3663.5,300.0,16.0
623,3664.5,300.0,16.0
624,3665.5,290.0,10.0
625,3666.5,298.0,12.0
626,3667.5,298.0,12.0
627,3668.5,272.0,14.0
628,3669.5,280.0,12.0
629,3670.5,294.0,14.0
630,3671.5,280.0,14.0
631,3672.5,264.0,12.0
632,3673.5,260.0,12.0
633,3674.5,276.0,18.0
634,3675.5,296.0,12.0
635,3676.5,280.0,10.0
636,3677.5,282.0,10.0
637,3678.5,282.0,10.0
638,3679.5,284.0,8.0
639,3680.5,272.0,12.0
640,3681.5,268.0,12.0
641,3682.5,276.0,12.0
642,3683.5,286.0,12.0
643,3684.5,288.0,14.0
644,3685.5,268.0,8.0
645,3686.5,290.0,10.0
646,3687.5,256.0,8.0
647,3688.5,286.0,12.0
648,3689.5,276.0,8.0
649,3690.5,278.0,10.0
650,3691.5,254.0,10.0
651,3692.5,274.0,6.0
652,3693.5,276.0,10.0
653,3694.5,286.0,12.0
654,3695.5,262.0,12.0
655,3696.5,280.0,12.0
656,3697.5,254.0,8.0
657,3698.5,266.0,12.0
658,3699.5,278.0,8.0
659,3700.5,272.0,10.0
660,3701.5,278.0,8.0
661,3702.5,252.0,12.0
662,3703.5,268.0,10.0
663,3704.5,260.0,10.0
664,3705.5,278.0,12.0
665,3706.5,266.0,12.0
666,3707.5,274.0,10.0
667,3708.5,250.0,10.0
668,3709.5,266.0,6.0
669,3710.5,254.0,8.0
670,3711.5,272.0,10.0
671,3712.5,256.0,8.0
672,3713.5,248.0,14.0
673,3714.5,256.0,10.0
674,3715.5,260.0,8.0
675,3716.5,258.0,8.0
676,3717.5,242.0,10.0
677,3718.5,260.0,14.0
678,3719.5,254.0,12.0
679,3720.5,236.0,6.0
680,3721.5,256.0,10.0
681,3722.5,250.0,8.0
682,3723.5,244.0,8.0
683,3724.5,256.0,10.0
684,3725.5,272.0,10.0
685,3726.5,248.0,10.0
686,3727.5,258.0,8.0
687,3728.5,252.0,8.0
688,3729.5,244.0,8.0
689,3730.5,246.0,8.0
690,3731.5,234.0,8.0
691,3732.5,244.0,10.0
692,3733.5,246.0,10.0
693,3734.5,256.0,8.0
694,3735.5,244.0,12.0
695,3736.5,246.0,8.0
696,3737.5,256.0,10.0
697,3738.5,264.0,8.0
698,3739.5,240.0,12.0
699,3740.5,256.0,8.0
700,3741.5,244.0,8.0
701,3742.5,238.0,8.0
702,3743.5,254.0,8.0
703,3744.5,234.0,8.0
704,3745.5,244.0,8.0
705,3746.5,248.0,6.0
706,3747.5,234.0,6.0
707,3748.5,232.0,8.0
708,3749.5,242.0,10.0
709,3750.5,232.0,8.0
710,3751.5,240.0,6.0
711,3752.5,226.0,6.0
712,3753.5,244.0,10.0
713,3754.5,248.0,6.0
714,3755.5,238.0,6.0
715,3756.5,230.0,10.0
716,3757.5,216.0,6.0
717,3758.5,236.0,10.0
718,3759.5,236.0,10.0
719,3760.5,242.0,8.0
720,3761.5,228.0,10.0
721,3762.5,240.0,6.0
722,3763.5,240.0,8.0
723,3764.5,220.0,6.0
724,3765.5,228.0,8.0
725,3766.5,212.0,8.0
726,3767.5,236.0,10.0
727,3768.5,220.0,4.0
728,3769.5,226.0,10.0
729,3770.5,234.0,6.0
730,3771.5,222.0,6.0
731,3772.5,224.0,6.0
732,3773.5,224.0,8.0
733,3774.5,220.0,8.0
734,3775.5,210.0,8.0
735,3776.5,240.0,10.0
736,3777.5,214.0,8.0
737,3778.5,224.0,12.0
738,3779.5,228.0,6.0
739,3780.5,234.0,8.0
740,3781.5,220.0,8.0
741,3782.5,226.0,6.0
742,3783.5,230.0,8.0
743,3784.5,212.0,4.0
744,3785.5,214.0,6.0
745,3786.5,208.0,6.0
746,3787.5,210.0,8.0
747,3788.5,204.0,6.0
748,3789.5,222.0,6.0
749,3790.5,216.0,8.0
750,3791.5,220.0,4.0
751,3792.5,206.0,4.0
752,3793.5,210.0,6.0
753,3794.5,200.0,6.0
754,3795.5,212.0,6.0
755,3796.5,230.0,6.0
756,3797.5,206.0,6.0
757,3798.5,200.0,6.0
758,3799.5,222.0,6.0
759,3800.5,216.0,4.0
760,3801.5,206.0,10.0
761,3802.5,214.0,4.0
762,3803.5,204.0,10.0
763,3804.5,194.0,4.0
764,3805.5,214.0,4.0
765,3806.5,196.0,8.0
766,3807.5,194.0,8.0
767,3808.5,230.0,6.0
768,3809.5,196.0,6.0
769,3810.5,212.0,4.0
770,3811.5,198.0,10.0
771,3812.5,210.0,6.0
772,3813.5,202.0,8.0
773,3814.5,178.0,6.0
774,3815.5,206.0,8.0
775,3816.5,204.0,6.0
776,3817.5,202.0,8.0
777,3818.5,200.0,6.0
778,3819.5,192.0,8.0
779,3820.5,194.0,6.0
780,3821.5,208.0,6.0
781,3822.5,210.0,6.0
782,3823.5,204.0,6.0
783,3824.5,200.0,6.0
784,3825.5,194.0,6.0
785,3826.5,206.0,6.0
786,3827.5,200.0,6.0
787,3828.5,192.0,4.0
788,3829.5,196.0,8.0
789,3830.5,194.0,8.0
790,3831.5,192.0,8.0
791,3832.5,192.0,6.0
792,3833.5,188.0,6.0
793,3834.5,198.0,6.0
794,3835.5,180.0,4.0
795,3836.5,178.0,4.0
796,3837.5,188.0,6.0
797,3838.5,176.0,6.0
798,3839.5,194.0,8.0
799,3840.5,182.0,6.0
800,3841.5,186.0,10.0
801,3842.5,202.0,6.0
802,3843.5,196.0,4.0
803,3844.5,170.0,2.0
804,3845.5,180.0,8.0
805,3846.5,178.0,4.0
806,3847.5,178.0,8.0
807,3848.5,182.0,4.0
808,3849.5,184.0,4.0
809,3850.5,186.0,4.0
810,3851.5,182.0,8.0
811,3852.5,188.0,6.0
812,3853.5,176.0,4.0
813,3854.5,180.0,4.0
814,3855.5,188.0,4.0
815,3856.5,168.0,6.0
816,3857.5,182.0,6.0
817,3858.5,182.0,4.0
818,3859.5,166.0,4.0
819,3860.5,162.0,6.0
820,3861.5,184.0,2.0
821,3862.5,176.0,6.0
822,3863.5,190.0,4.0
823,3864.5,182.0,6.0
824,3865.5,184.0,4.0
825,3866.5,178.0,4.0
826,3867.5,166.0,4.0
827,3868.5,186.0,4.0
828,3869.5,176.0,4.0
829,3870.5,186.0,4.0
830,3871.5,190.0,4.0
831,3872.5,176.0,6.0
832,3873.5,192.0,4.0
833,3874.5,182.0,4.0
834,3875.5,174.0,4.0
835,3876.5,184.0,4.0
836,3877.5,174.0,4.0
837,3878.5,170.0,6.0
838,3879.5,184.0,4.0
839,3880.5,166.0,6.0
840,3881.5,172.0,6.0
841,3882.5,176.0,4.0
842,3883.5,170.0,6.0
843,3884.5,182.0,4.0
844,3885.5,174.0,2.0
845,3886.5,180.0,2.0
846,3887.5,192.0,4.0
847,3888.5,186.0,4.0
848,3889.5,156.0,4.0
849,3890.5,162.0,4.0
850,3891.5,188.0,4.0
851,3892.5,178.0,4.0
852,3893.5,172.0,6.0
853,3894.5,164.0,2.0
854,3895.5,180.0,4.0
855,3896.5,172.0,4.0
856,3897.5,168.0,6.0
857,3898.5,178.0,4.0
858,3899.5,164.0,4.0
859,3900.5,162.0,4.0
860,3901.5,178.0,2.0
861,3902.5,160.0,2.0
862,3903.5,168.0,4.0
863,3904.5,176.0,4.0
864,3905.5,170.0,4.0
865,3906.5,162.0,4.0
866,3907.5,178.0,8.0
867,3908.5,172.0,4.0
868,3909.5,180.0,4.0
869,3910.5,172.0,2.0
870,3911.5,162.0,4.0
871,3912.5,164.0,2.0
872,3913.5,174.0,6.0
873,3914.5,160.0,6.0
874,3915.5,164.0,4.0
875,3916.5,160.0,4.0
876,3917.5,164.0,6.0
877,3918.5,164.0,6.0
878,3919.5,156.0,2.0
879,3920.5,152.0,6.0
880,3921.5,162.0,4.0
881,3922.5,166.0,4.0
882,3923.5,170.0,4.0
883,3924.5,160.0,4.0
884,3925.5,162.0,4.0
885,3926.5,158.0,4.0
886,3927.5,150.0,4.0
887,3928.5,162.0,2.0
