NUV, %
  235.60,  48.0196 
  235.70,  48.0812 
  235.80,  48.1428 
  235.90,  48.2044 
  236.00,  48.2660 
  236.10,  48.3276 
  236.20,  48.3892 
  236.30,  48.4508 
  236.40,  48.5124 
  236.50,  48.5740 
  236.60,  48.6356 
  236.70,  48.6972 
  236.80,  48.7588 
  236.90,  48.8204 
  237.00,  48.8820 
  237.10,  48.9436 
  237.20,  49.0052 
  237.30,  49.0668 
  237.40,  49.1284 
  237.50,  49.1900 
  237.60,  49.2516 
  237.70,  49.3132 
  237.80,  49.3748 
  237.90,  49.4364 
  238.00,  49.4980 
  238.10,  49.5596 
  238.20,  49.6212 
  238.30,  49.6828 
  238.40,  49.7444 
  238.50,  49.8060 
  238.60,  49.8676 
  238.70,  49.9292 
  238.80,  49.9908 
  238.90,  50.0524 
  239.00,  50.1140 
  239.10,  50.1756 
  239.20,  50.2372 
  239.30,  50.2988 
  239.40,  50.3604 
  239.50,  50.4220 
  239.60,  50.4836 
  239.70,  50.5452 
  239.80,  50.6068 
  239.90,  50.6684 
  240.00,  50.7300 
  240.10,  50.7848 
  240.20,  50.8396 
  240.30,  50.8944 
  240.40,  50.9492 
  240.50,  51.0040 
  240.60,  51.0588 
  240.70,  51.1136 
  240.80,  51.1684 
  240.90,  51.2232 
  241.00,  51.2780 
  241.10,  51.3328 
  241.20,  51.3876 
  241.30,  51.4424 
  241.40,  51.4972 
  241.50,  51.5520 
  241.60,  51.6068 
  241.70,  51.6616 
  241.80,  51.7164 
  241.90,  51.7712 
  242.00,  51.8260 
  242.10,  51.8808 
  242.20,  51.9356 
  242.30,  51.9904 
  242.40,  52.0452 
  242.50,  52.1000 
  242.60,  52.1548 
  242.70,  52.2096 
  242.80,  52.2644 
  242.90,  52.3192 
  243.00,  52.3740 
  243.10,  52.4288 
  243.20,  52.4836 
  243.30,  52.5384 
  243.40,  52.5932 
  243.50,  52.6480 
  243.60,  52.7028 
  243.70,  52.7576 
  243.80,  52.8124 
  243.90,  52.8672 
  244.00,  52.9220 
  244.10,  52.9768 
  244.20,  53.0316 
  244.30,  53.0864 
  244.40,  53.1412 
  244.50,  53.1960 
  244.60,  53.2508 
  244.70,  53.3056 
  244.80,  53.3604 
  244.90,  53.4152 
  245.00,  53.4700 
  245.10,  53.4508 
  245.20,  53.4316 
  245.30,  53.4124 
  245.40,  53.3932 
  245.50,  53.3740 
  245.60,  53.3548 
  245.70,  53.3356 
  245.80,  53.3164 
  245.90,  53.2972 
  246.00,  53.2780 
  246.10,  53.2588 
  246.20,  53.2396 
  246.30,  53.2204 
  246.40,  53.2012 
  246.50,  53.1820 
  246.60,  53.1628 
  246.70,  53.1436 
  246.80,  53.1244 
  246.90,  53.1052 
  247.00,  53.0860 
  247.10,  53.0668 
  247.20,  53.0476 
  247.30,  53.0284 
  247.40,  53.0092 
  247.50,  52.9900 
  247.60,  52.9708 
  247.70,  52.9516 
  247.80,  52.9324 
  247.90,  52.9132 
  248.00,  52.8940 
  248.10,  52.8748 
  248.20,  52.8556 
  248.30,  52.8364 
  248.40,  52.8172 
  248.50,  52.7980 
  248.60,  52.7788 
  248.70,  52.7596 
  248.80,  52.7404 
  248.90,  52.7212 
  249.00,  52.7020 
  249.10,  52.6828 
  249.20,  52.6636 
  249.30,  52.6444 
  249.40,  52.6252 
  249.50,  52.6060 
  249.60,  52.5868 
  249.70,  52.5676 
  249.80,  52.5484 
  249.90,  52.5292 
  250.00,  52.5100 
  250.10,  52.4924 
  250.20,  52.4748 
  250.30,  52.4572 
  250.40,  52.4396 
  250.50,  52.4220 
  250.60,  52.4044 
  250.70,  52.3868 
  250.80,  52.3692 
  250.90,  52.3516 
  251.00,  52.3340 
  251.10,  52.3164 
  251.20,  52.2988 
  251.30,  52.2812 
  251.40,  52.2636 
  251.50,  52.2460 
  251.60,  52.2284 
  251.70,  52.2108 
  251.80,  52.1932 
  251.90,  52.1756 
  252.00,  52.1580 
  252.10,  52.1404 
  252.20,  52.1228 
  252.30,  52.1052 
  252.40,  52.0876 
  252.50,  52.0700 
  252.60,  52.0524 
  252.70,  52.0348 
  252.80,  52.0172 
  252.90,  51.9996 
  253.00,  51.9820 
  253.10,  51.9644 
  253.20,  51.9468 
  253.30,  51.9292 
  253.40,  51.9116 
  253.50,  51.8940 
  253.60,  51.8764 
  253.70,  51.8588 
  253.80,  51.8412 
  253.90,  51.8236 
  254.00,  51.8060 
  254.10,  51.7884 
  254.20,  51.7708 
  254.30,  51.7532 
  254.40,  51.7356 
  254.50,  51.7180 
  254.60,  51.7004 
  254.70,  51.6828 
  254.80,  51.6652 
  254.90,  51.6476 
  255.00,  51.6300 
  255.10,  51.5988 
  255.20,  51.5676 
  255.30,  51.5364 
  255.40,  51.5052 
  255.50,  51.4740 
  255.60,  51.4428 
  255.70,  51.4116 
  255.80,  51.3804 
