wave_microns,transmission
3.08125,0.9999999812454864
3.0815,0.9999999812406729
3.08175,0.9999999812327507
3.082,0.9999999812281377
3.08225,0.9999999812234245
3.0825,0.9999999812187113
3.08275,0.9999999812115913
3.083,0.9999999812028668
3.08325,0.9999999811981536
3.0835,0.9999999811934404
3.08375,0.9999999811888275
3.084,0.9999999811841143
3.08425,0.9999999811795013
3.0845,0.999999981174788
3.08475,0.9999999811700748
3.085,0.999999981165462
3.08525,0.9999999811521245
3.0855,0.999999981147311
3.08575,0.9999999811420963
3.086,0.9999999811374835
3.08625,0.9999999811327702
3.0865,0.999999981128057
3.08675,0.9999999811233438
3.087,0.9999999811186305
3.08725,0.9999999811140176
3.0875,0.9999999811093043
3.08775,0.9999999810946633
3.088,0.9999999810872425
3.08825,0.9999999810826296
3.0885,0.9999999810779163
3.08875,0.9999999810732031
3.089,0.9999999810682894
3.08925,0.9999999810632753
3.0895,0.999999981058562
3.08975,0.9999999810538488
3.09,0.9999999810492358
3.09025,0.9999999810445226
3.0905,0.9999999810397091
3.09075,0.9999999810349959
3.091,0.9999999810302826
3.09125,0.9999999810255694
3.0915,0.9999999810206557
3.09175,0.9999999810130343
3.092,0.9999999810083211
3.09225,0.9999999810036079
3.0925,0.9999999809982929
3.09275,0.9999999809932789
3.093,0.9999999809885657
3.09325,0.9999999809838525
3.0935,0.9999999809791392
3.09375,0.9999999809675065
3.094,0.9999999809627934
3.09425,0.9999999809579798
3.0945,0.9999999809532666
3.09475,0.9999999809485534
3.095,0.9999999809438402
3.09525,0.9999999809390266
3.0955,0.9999999809328093
3.09575,0.999999980928096
3.096,0.9999999809233828
3.09625,0.9999999809186696
3.0965,0.9999999809139564
3.09675,0.9999999809092431
3.097,0.9999999809044297
3.09725,0.9999999808997164
3.0975,0.9999999808950032
3.09775,0.9999999808898888
3.098,0.9999999808835711
3.09825,0.9999999808787576
3.0985,0.9999999808740444
3.09875,0.9999999808638157
3.099,0.9999999808591025
3.09925,0.999999980854289
3.0995,0.9999999808495758
3.09975,0.9999999808447623
3.1,0.9999999808399487
3.10025,0.9999999808352356
3.1005,0.999999980830422
3.10075,0.9999999808255082
3.101,0.9999999808204941
3.10125,0.9999999808157809
3.1015,0.9999999808110677
3.10175,0.9999999808062542
3.102,0.9999999808007387
3.10225,0.999999980795825
3.1025,0.9999999807911117
3.10275,0.9999999807862983
3.103,0.999999980781585
3.10325,0.9999999807767715
3.1035,0.9999999807718577
3.10375,0.9999999807670442
3.104,0.999999980762331
3.10425,0.9999999807575175
3.1045,0.9999999807528043
3.10475,0.9999999807475897
3.105,0.9999999807427761
3.10525,0.999999980738063
3.1055,0.9999999807331491
3.10575,0.999999980723121
3.106,0.9999999806829082
3.10625,0.999999980678195
3.1065,0.9999999806733815
3.10675,0.999999980668568
3.107,0.9999999806621499
3.10725,0.9999999806573364
3.1075,0.9999999806526232
3.10775,0.9999999806478097
3.108,0.9999999806429962
3.10825,0.9999999806381827
3.1085,0.9999999806333691
3.10875,0.999999980628656
3.109,0.9999999806235417
3.10925,0.999999980600176
3.1095,0.9999999805953625
3.10975,0.9999999805905491
3.11,0.9999999805857356
3.11025,0.9999999805810224
3.1105,0.9999999805762089
3.11075,0.9999999805713954
3.111,0.9999999805665818
3.11125,0.9999999805617683
3.1115,0.9999999805569548
3.11175,0.9999999805521413
3.112,0.9999999805473279
3.11225,0.9999999805425143
3.1125,0.999999980525266
3.11275,0.9999999805177449
3.113,0.9999999805129314
3.11325,0.9999999805081178
3.1135,0.9999999805033043
3.11375,0.9999999804984908
3.114,0.9999999804936773
3.11425,0.9999999804883624
3.1145,0.9999999804835489
3.11475,0.9999999804786351
3.115,0.9999999804738217
